the-gorgon-protocol	790c9527-5ef0-4c36-93c5-22107803ef7a
the-glass-cage	0e8e6c03-1882-4360-89a8-bf16c13b0482
the-bio-age-trap	ed5e336a-16a4-4746-9b82-959a42b1db64
the-ghost-in-the-city	c8456864-0ee9-45df-9d95-0e393509c88c
the-boredom-strike	7c3fe48a-9b89-4c31-acc4-46ef97cdbe96
weaponized-silence	7cf26447-b4d1-456f-8550-41d6928dff80
sleep-sovereignty	095f56a0-a58b-4aaf-a71b-dbd6051376e5
the-analog-insurrection	52eee142-e1ed-43ff-9991-9568093fa404
the-right-to-be-forgotten	320cd6e3-eae6-496d-9d59-98e2e09d9e6b
memory-wars-and-data-leakage	8141cfee-bcae-4721-977e-cf851dcc601e
the-data-pyre	48123ac7-7fe9-4638-bf74-514f2b85205f
the-hauntology-of-the-infinite-now	8bc1df5f-5035-48bc-bbb0-87e2c3915583
